Instance: uvm_test_top.top_env.nvme_env.host_agent_1.logger
Simulation Timescale : s
------------------------------------------------------------
|       FIELD      |          DESCRIPTION                  |
------------------------------------------------------------
| SRC              | INITIATOR AS HOST OR DEVICE SIDE      |
| RW               | READ OR WRITE TYPE TRANSACTION        |
| TYPE             | REGISTER OR HOST MEMORY ACCESS        |
| SQID             | CREATE_IO_SQ.QID                      |
|                  | ABORT.DW10-SQID,CREATE_IO_CQ.IV       |
| CQID             | IO CQID/CREATE_IO_SQ.CQID/            |
|                  | CREATE_IO_CQ.QID                      |
| REG_NAME/QENTRY  | REGISTER ACCESSED/CQ-SQ ENTRY NUM     |
| CMD/REG_DATA     | CMD FETCHED FROM SQ/REGISTER DATA     |
| MISC             | IDENTIFY.CNS,GET/SET_FEATURE.FID      |
|                  | GET_LOG_PAGE.LID,WRITE/READ.NLB       |
|                  | CREATE_IO_SQ/CQ.QSIZE/ABORT.DW10-CID  |
|                  | FW_IMG_DL.NUMD/FW_COMMIT.CA/CQ.SQHD   |
| CID              | COMMAND ID                            |
| PSDT             | PRP OR SGL FOR DATA TRANSFER          |
| PRP2             | PRP2/SGL1[39:32]                      |
| PRP1             | PRP1/SGL1[31:24]                      |
| FUSE             | FUSED OR NORMAL OPERATION             |
| NSID             | NAMESPACE ID                          |
| SQHP             | SUBMISSION QUEUE HEAD POINTER         |
| PH               | COMPLETION QUEUE ENTRY PHASE TAG      |
| STS              | STATUS CODE ALONG WITH TYPE           |
| ADDR             | TRANSACTION ADDRESS                   |
| START TIME       | TXN START TIME                        |
| END TIME         | TXN END TIME                          |
| DATA             | TRANSACTION DATA                      |
------------------------------------------------------------

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|      DEBUG ID      | BDF  | S | R | TYPE  | SQID | CQID | REG_NAME |     CMD     | MISC  | CID  | PS  |      PRP2      |      PRP1      |   NSID   |  STS/SLBA/PC   |      ADDR      |      START TIME      |       END TIME       |    DATA     |
|                    |      | R | W |       |      |      |    /     |      /      |       |      | DT  |       /        |       /        |          |                |                |                      |                      |             |
|                    |      | C |   |       |      |      |  QENTRY  |   REG_DATA  |       |      |     |   SGL1[39:32]  |   SGL1[31:24]  |          |                |                |                      |                      |             |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  ----------------  | 0101 | H | R | REG   | ---- | ---- |      CAP |   0200020C  | ----- | ---- | --- | -------------- | -------------- | -------- | -------------- |0000000100010000|        521170000.000 ps |        521388000.000 ps | ----------- |
|  ----------------  | 0101 | H | R | REG   | ---- | ---- |          |   00F02030  | ----- | ---- | --- | -------------- | -------------- | -------- | -------------- |0000000100010004|        521390000.000 ps |        521608000.000 ps | ----------- |
|  ----------------  | 0101 | H | R | REG   | ---- | ---- |     CSTS |   00000000  | ----- | ---- | --- | -------------- | -------------- | -------- | -------------- |000000010001001C|        521610000.000 ps |        521828000.000 ps | ----------- |
|  ----------------  | 0101 | H | R | REG   | ---- | ---- |    CMBSZ |   00000000  | ----- | ---- | --- | -------------- | -------------- | -------- | -------------- |000000010001003C|        521830000.000 ps |        522048000.000 ps | ----------- |
|  ----------------  | 0101 | H | W | REG   | ---- | ---- |      AQA |   003F003F  | ----- | ---- | --- | -------------- | -------------- | -------- | -------------- |0000000100010024|        522052000.000 ps |        522052000.000 ps | ----------- |
|  ----------------  | 0101 | H | W | REG   | ---- | ---- |      ASQ |   C9730000  | ----- | ---- | --- | -------------- | -------------- | -------- | -------------- |0000000100010028|        522054000.000 ps |        522054000.000 ps | ----------- |
|  ----------------  | 0101 | H | W | REG   | ---- | ---- |          |   76DC30E4  | ----- | ---- | --- | -------------- | -------------- | -------- | -------------- |000000010001002C|        522056000.000 ps |        522056000.000 ps | ----------- |
|  ----------------  | 0101 | H | W | REG   | ---- | ---- |      ACQ |   75B98000  | ----- | ---- | --- | -------------- | -------------- | -------- | -------------- |0000000100010030|        522058000.000 ps |        522058000.000 ps | ----------- |
|  ----------------  | 0101 | H | W | REG   | ---- | ---- |          |   76DC30E4  | ----- | ---- | --- | -------------- | -------------- | -------- | -------------- |0000000100010034|        522060000.000 ps |        522060000.000 ps | ----------- |
